Age,Gender,Region,DeviceType,SubscriptionLength,UsageFrequency,Complaints,PromotionsUsed,PromotionsDriven,AverageSpending,PaymentMethod,DeviceType,CustomerChurned
39,Male,Asia,Desktop,24,10,2,1,0,63.63793640667137,PayPal,Tablet,0
33,Male,South America,Mobile,11,10,2,4,0,73.46586019274594,Direct Debit,Tablet,0
41,Female,South America,Mobile,1,7,4,0,1,46.04211646431437,PayPal,Mobile,1
50,Female,Asia,Mobile,2,6,4,0,1,94.86692920036306,PayPal,Desktop,1
32,Male,Europe,Mobile,23,10,1,3,0,59.83755754366853,Direct Debit,Desktop,0
32,Male,Europe,Desktop,13,10,2,5,0,28.037727617878872,Credit Card,Mobile,0
50,Male,North America,Tablet,2,8,2,2,1,56.16522879057382,PayPal,Mobile,0
42,Female,South America,Desktop,7,10,1,3,0,53.72097669215094,Direct Debit,Mobile,1
30,Male,Europe,Desktop,5,7,1,5,0,77.91790162664464,Direct Debit,Tablet,0
40,Male,South America,Desktop,1,6,1,1,0,43.2170078134762,Credit Card,Mobile,0
30,Male,Europe,Mobile,8,6,2,5,0,39.91188909312557,Credit Card,Mobile,0
30,Female,Europe,Tablet,11,10,1,5,0,74.83796001399233,Direct Debit,Desktop,0
37,Female,North America,Desktop,1,9,2,2,0,57.76513182883083,PayPal,Desktop,0
18,Female,Europe,Desktop,10,10,1,3,0,41.16028704737774,PayPal,Desktop,1
18,Female,Europe,Mobile,6,9,2,0,0,13.267109678906095,Direct Debit,Tablet,0
29,Female,South America,Tablet,24,10,2,3,0,61.49476455183037,Direct Debit,Mobile,0
24,Female,South America,Desktop,14,9,3,0,0,64.82986344106757,Credit Card,Desktop,0
38,Male,Europe,Mobile,3,6,2,4,1,49.563518774445974,PayPal,Tablet,0
25,Female,South America,Mobile,8,10,1,5,0,69.33247321948639,Credit Card,Desktop,1
20,Female,Asia,Desktop,6,10,0,5,0,105.33049324408859,Direct Debit,Mobile,1
49,Female,Europe,Mobile,19,9,1,2,0,63.64920953316704,Credit Card,Mobile,0
32,Male,Asia,Desktop,9,10,4,3,0,58.19051278677641,Direct Debit,Mobile,0
35,Male,Europe,Desktop,20,10,0,1,0,66.06841167544057,Credit Card,Mobile,0
20,Female,North America,Desktop,24,9,1,5,0,54.50551914699591,PayPal,Desktop,0
29,Female,South America,Tablet,15,10,3,5,0,79.32139255333732,Credit Card,Mobile,0
36,Female,Asia,Desktop,2,8,1,2,0,57.6480539032869,Direct Debit,Mobile,0
23,Female,North America,Mobile,17,10,2,2,0,34.2748345314066,Direct Debit,Mobile,0
38,Male,North America,Desktop,6,10,1,2,0,25.019156253691598,Credit Card,Tablet,0
28,Male,Asia,Mobile,17,10,3,3,0,52.03830956202397,Credit Card,Mobile,0
32,Male,Europe,Mobile,23,10,1,1,0,84.84392362841768,PayPal,Mobile,0
28,Male,North America,Desktop,18,9,2,4,0,78.04915019449072,PayPal,Desktop,0
53,Female,South America,Desktop,12,5,1,3,0,62.34702025461141,Direct Debit,Desktop,0
34,Male,North America,Desktop,16,10,0,2,0,58.16716363161009,Direct Debit,Mobile,0
24,Male,North America,Desktop,7,7,0,3,0,47.72331604989375,Direct Debit,Desktop,0
43,Male,North America,Mobile,18,10,2,2,0,76.41966911979785,Direct Debit,Desktop,0
22,Male,North America,Desktop,11,9,3,3,0,25.542380206126985,Direct Debit,Tablet,1
37,Male,Asia,Desktop,12,7,0,5,0,27.125973234603066,Direct Debit,Mobile,0
18,Male,South America,Mobile,7,8,0,4,0,64.7849896530036,Direct Debit,Tablet,0
21,Male,Asia,Mobile,19,10,5,1,0,29.93361613798063,PayPal,Desktop,1
36,Male,North America,Desktop,6,9,2,5,0,38.62219794696032,Credit Card,Mobile,0
42,Male,Asia,Mobile,2,8,3,5,1,58.782785861082004,PayPal,Mobile,1
36,Female,Asia,Desktop,1,6,2,3,1,23.54815938388578,PayPal,Desktop,0
33,Male,Europe,Desktop,24,10,2,5,0,41.025758220203116,PayPal,Tablet,0
31,Male,Europe,Mobile,5,9,4,0,0,87.73379808483486,PayPal,Desktop,1
20,Male,Europe,Tablet,6,10,2,5,0,38.44993803789501,Credit Card,Desktop,0
27,Female,Asia,Desktop,6,10,3,4,0,43.489999586002924,PayPal,Mobile,0
30,Male,Asia,Desktop,24,10,1,1,0,26.27178794983012,PayPal,Desktop,0
45,Female,Asia,Desktop,24,10,3,1,0,80.00343367366023,PayPal,Mobile,0
38,Male,South America,Desktop,24,10,2,2,0,49.10766887906171,Direct Debit,Mobile,0
18,Male,Asia,Desktop,18,7,0,2,0,68.59160506815272,Credit Card,Desktop,0
38,Male,Asia,Desktop,24,10,0,5,0,34.64209376057322,PayPal,Mobile,0
31,Male,Asia,Desktop,10,9,4,2,0,44.58440829903415,PayPal,Mobile,1
28,Female,South America,Desktop,24,10,5,5,0,75.16380934461282,PayPal,Tablet,1
41,Male,South America,Mobile,2,8,2,5,1,10.0,Direct Debit,Tablet,0
45,Female,Asia,Desktop,2,6,1,5,1,65.25537208660387,Direct Debit,Desktop,1
44,Female,Asia,Desktop,13,8,1,1,0,62.76764609787482,PayPal,Desktop,0
26,Male,Europe,Mobile,24,10,1,4,0,40.048011960284555,PayPal,Tablet,0
31,Female,North America,Desktop,8,10,1,2,0,34.59726162879636,Direct Debit,Mobile,0
38,Female,South America,Mobile,24,9,1,5,0,51.41703120649014,Credit Card,Tablet,0
44,Male,South America,Desktop,24,10,2,2,0,48.24616566089942,Credit Card,Desktop,0
30,Male,Europe,Desktop,5,7,0,1,0,91.50495754584095,Credit Card,Mobile,0
33,Male,North America,Desktop,24,10,2,3,0,44.032098296210414,Credit Card,Mobile,0
23,Male,Asia,Desktop,23,10,0,5,0,29.39967810856625,Direct Debit,Desktop,0
23,Male,Asia,Desktop,14,10,4,5,0,76.32681395889215,Credit Card,Desktop,1
43,Female,Asia,Desktop,2,3,3,4,1,10.0,Credit Card,Mobile,1
