Age,Gender,Region,SubscriptionLength,UsageFrequency,Complaints,PromotionsUsed,AverageSpending,PaymentMethod,DeviceType,CustomerChurned
39,Male,Asia,18,10,2,4,45.24559167329847,Direct Debit,Mobile,0
33,Male,South America,9,10,0,1,56.484491459006904,Credit Card,Tablet,0
41,Female,South America,8,9,0,5,74.10139579206609,Credit Card,Desktop,0
50,Female,Asia,2,9,1,4,70.1218613312856,PayPal,Mobile,1
32,Male,Europe,8,9,0,5,34.4143872932225,Credit Card,Mobile,0
32,Male,Europe,19,8,1,2,60.71979222899247,Credit Card,Tablet,0
50,Male,North America,24,10,0,0,55.0579724857779,PayPal,Mobile,0
42,Female,South America,11,6,5,3,59.294993858051214,PayPal,Desktop,0
30,Male,Europe,16,10,1,0,47.31159451940288,Direct Debit,Tablet,0
40,Male,South America,24,10,1,1,46.587147244770016,Direct Debit,Desktop,0
30,Male,Europe,7,9,1,0,17.69221750581862,Credit Card,Desktop,0
30,Female,Europe,24,10,3,5,22.645698958513737,Direct Debit,Mobile,1
37,Female,North America,23,8,0,1,22.627888652661724,PayPal,Mobile,0
18,Female,Europe,19,10,3,4,64.26988088010155,Direct Debit,Tablet,0
18,Female,Europe,5,9,2,4,56.66853606809974,PayPal,Mobile,0
29,Female,South America,24,10,0,0,64.36751109672882,Direct Debit,Desktop,0
24,Female,South America,15,10,1,5,35.96004551738552,Credit Card,Mobile,0
38,Male,Europe,3,10,5,0,77.6621521756195,Direct Debit,Tablet,1
25,Female,South America,13,8,0,4,69.5950887183811,PayPal,Desktop,0
20,Female,Asia,15,10,2,5,27.19663817954242,Credit Card,Tablet,0
49,Female,Europe,1,5,3,5,69.59901333054722,PayPal,Tablet,1
32,Male,Asia,15,10,5,2,59.878884692954266,PayPal,Mobile,0
35,Male,Europe,11,10,5,2,20.09537221466904,Direct Debit,Tablet,1
20,Female,North America,24,10,1,1,67.51759891364233,Credit Card,Tablet,0
29,Female,South America,24,10,2,2,65.16458009537548,Direct Debit,Mobile,0
